Body ID,Instance,Type,New type,,
294800293,FB07a(PDL05)_R,FB7A,,,
297183251,FB07k(PDL05)_R,FB7B_b,,,
327203386,FB07b(PDL05)_R,FB7B_a,,,
327730878,FB06og_L,FB6Z,,,
329289084,FB06i(PDL05)_R,FB6G,,,
420842989,FB07a_L,FB7A,,,
422191200,FB06a_L,FB6A,,,
422876942,FB06g_L,FB6E,,,
452029745,FB06k(PDL05)_R,FB6I,,,
513788774,FB06h(PDL05)_R,FB6F,,,
762222901,FB06d_L,FB6C_b,,,
915960391,FB06j_L,FB6H,,,
915964590,FB06i_L,FB6G,,,
916288456,FB07a_L,FB7A,,,
916292026,FB07b_L,FB7B_a,,,
946308203,FB06a(PDL05)_R,FB6A,,,
946641212,FB06e(PDL05)_R,FB6D,,,
946645313,FB06c(PDL05)_R,FB6C_a,,,
946978006,FB06h_L,FB6F,,,
979065964,FB06og(PDL05)_R,FB6Z,,,
1105955480,FB06a_L,FB6A,,,
5813019588,FB06d(PDL05)_R,FB6C_b,,,
5813020684,FB06j(PDL05)_R,FB6H,,,
5813020735,FB07b(PDL05)_R,FB7B_a,,,
5813026514,FB06e_L,FB6D,,,
5813049824,FB06g(PDL05)_R,FB6E,,,
5813050747,FB06d_L,FB6C_b,,,
5813055834,FB06a(PDL05)_R,FB6A,,,
5813057169,FB06d(PDL05)_R,FB6C_b,,,
5813058367,FB06k_L,FB6I,,,
5813058368,FB07k_L,FB7B_b,,,
5813061177,FB06a_L,FB6A,,,
5813061495,FB06a(PDL05)_R,FB6A,,,
5813069331,FB06c_L,FB6C_a,,,
5813071027,FB06d_L,FB6C_b,,,
5813071028,FB07b_L,FB7B_a,,,
5813081818,FB07a(PDL05)_R,FB7A,,,