Type,Simpletype,X index,color name,hex
PDM21a_pct,no,,greenyellow,#ADFF2F
ExR1,no,X12,plum1,#FFBBFF
ExR2,no,X23,maroon1,#FF34B3
ExR3,no,,,#9370DB
ExR4,no,X22,deeppink,#FF1493
ExR5,no,X13,purple,#A020F0
ExR6,no,X19,darkmagenta,#8B008B
ExR7,no,,,#D99EDB
ExR8,no,X34,mediumorchid4,#7A378B
TuTuB_a,no,,,#9BC94C
TuTuB_b,no,,,#5F7730
TuTuA,no,,,#DDD937
PDM21a,yes,,greenyellow,#ADFF2F
ExR1,yes,X12,plum1,#FFBBFF
ExR2,yes,X23,maroon1,#FF34B3
ExR3,yes,,,#9370DB
ExR4,yes,X22,deeppink,#FF1493
ExR5,yes,X13,purple,#A020F0
ExR6,yes,X19,darkmagenta,#8B008B
ExR7,yes,,,#D99EDB
ExR8,yes,X34,mediumorchid4,#7A378B
TuTuB,yes,,,#9BC94C
TuTuA,yes,,,#DDD937